FX5QA__Breadcrumb__c,FX5QA__Cost__c,FX5QA__Description__c,FX5QA__Name_Unique__c,FX5QA__Sequence_Number__c,FX5QA__Ticket_Item_Record_Type__c,FX5QA__Track_Inventory__c,FX5QA__UOM__c,Name
,52.28,*New* Scania R500,SR500,0,Equipment,FALSE,DAY,SR500
,459.99,Black Steering Wheel,SW-BLK,14,Equipment,FALSE,EA,SW-BLK
,199.99,Locked Discount Item,LockedDiscount,134,Equipment,FALSE,DAY,LockedDiscount
,159.99,Locked Price Item,LockedPrice,134,Equipment,FALSE,DAY,LockedPrice
,,Jollof Delivery,123455,0,Equipment,FALSE,,123455
,11,Enabled Dynamic Parenting,3646,0,Equipment,FALSE,EA,3646
,36.07,4.0.1.3607,3607,3607,Equipment,FALSE,EA,3607
,142,child item,44001,0,Equipment,FALSE,,44001
Equipment: Trucks: Scania: R440,47.22,Scania R440,SR440,4.44,Equipment,FALSE,DAY,SR440
Equipment: Trucks: Scania: R410,63.33,Scania R410,SR410,0,Equipment,FALSE,DAY,SR410
Equipment,59.33,Scania R520,SR520,0,Equipment,FALSE,DAY,SR520
Supplies,1.99,Hot Dog,HtDg,0,Supplies,FALSE,EA,HtDg
GTI:APR,549,APR Stage 1+ Tune,APRSTG1+,1.5,Equipment,FALSE,EA,APRSTG1+
,,Hot-Dog bite,12312,1.923,Equipment,FALSE,,12312
,3.99,Black Steering Wheel Knob,SWK-BLK,15,Equipment,FALSE,EA,SWK-BLK
,150,APR Carbon Fiber Intake System - Stage 2,APRIntakeStage2,889,Equipment,FALSE,EA,APRIntakeStage2
,395,APR Carbon Fiber Intake System - Combo,APRIntakeCombo,890,Equipment,FALSE,EA,APRIntakeCombo
,,Money Maker,123489,0,Equipment,TRUE,,123489
,35.91,4.0.1.3591,3591,3591,Supplies,FALSE,EA,3591
,36.07,Parent 3607,P3607,3607.1,Equipment,FALSE,EA,P3607
,400,Cat_3938,PD_Cat3938,0,Equipment,FALSE,,PD_Cat3938
,,3938 regression,3938,0,Equipment,FALSE,,3938
,345,ticket_disallowed,Tick_Dis,0,Equipment,FALSE,,Tick_Dis
,3500,Dec12_3906_PD2,Dec12_3906_PD2,0,Equipment,FALSE,,Dec12_3906_PD2
,15.99,4.0.1.3637,4.0.1.3637,0.3637,Equipment,FALSE,EA,4.0.1.3637
,15.99,4.0.1.3637 Child,4.0.1.3637C,0.3637,Equipment,FALSE,EA,4.0.1.3637C
Equipment,41.89,Scania P360,SP360,0,Equipment,FALSE,DAY,SP360
Equipment,79.17,Scania R580,SR580,0,Equipment,TRUE,DAY,SR580
Equipment,35.44,Scania P320,SP320,0,Equipment,FALSE,DAY,SP320
Equipment,35.39,Scania G280,SG280,0,Equipment,FALSE,DAY,SG280
Supplies,0.49,Hot Dog Bun,HDBun,0,Supplies,FALSE,EA,HDBun
Equipment,78.26,Scania R730 Sleeper Cab,SR730,7.73,Equipment,FALSE,DAY,SR730
,0.1,Fried Onions,FrdOns,0,Equipment,FALSE,EA,FrdOns
,0.04,Mustard Packet,MstdPkt,0,Equipment,FALSE,EA,MstdPkt
Equipment,2749.99,APR Brembo Brake GT,APRBremboBrakeGT,0,Equipment,FALSE,,APRBremboBrakeGT
,333,Cat_3938_2,PD_3939_2,0,Equipment,FALSE,,PD_3939_2
,,"LED Bulb, 195, Red",Bulb195R,1,Equipment,FALSE,EA,Bulb195R
,15,regression 3619,3619,3619,Equipment,FALSE,,3619
,,test_record_item,test_1234,30000,Equipment,FALSE,DAY,test_1234
Equipment,39.44,Scania G250,SG250,0,Equipment,FALSE,DAY,SG250
Equipment: Trucks: Scania: G320,45.56,Scania G320,SG320,0,Equipment,FALSE,DAY,SG320
,0.03,Ketchup Packet (Not Dynamic Parent),KtchpPkt,0,Equipment,FALSE,EA,KtchpPkt
Equipment,34.39,Scania P280,SP280,0,Equipment,FALSE,DAY,SP280
Equipment: Trucks: Scania: G360,43.64,Scania G360,SG360,0,Equipment,FALSE,DAY,SG360
Equipment,38.33,Scania P250,SP250,2.25,Equipment,FALSE,DAY,SP250
,2800,Exhaust Stacks,ExStack,1,Equipment,FALSE,EA,ExStack
,500,test 12345,IT124_PD_ios102,9,Equipment,FALSE,,IT124_PD_ios102
,,3883 regression,111200,0,Equipment,FALSE,,111200
,450,testing incremental sync 3,T8_IOS11_3,0,Equipment,FALSE,,T8_IOS11_3
Supplies,12.99,Ketchup - 64oz,Katsup,0,Supplies,FALSE,EA,Katsup
,350,regression test it 124,It124_PD_ios10,0,Equipment,FALSE,,It124_PD_ios10
,,Rule test,RuleTest01,0,Equipment,FALSE,,RuleTest01
,1000,testing incremental sync,T8_IOS11,0,Equipment,FALSE,,T8_IOS11
,150,Incremental testing,T8_IOS11_2,0,Equipment,FALSE,,T8_IOS11_2
,,regression 3646-2,3646-2,0,Equipment,FALSE,,3646-2
,0,spare part,111111,0,Equipment,FALSE,,111111
,,3956 regression,3956,0,Equipment,FALSE,,3956
,,Vergo Link,12343,123,Equipment,FALSE,,12343
,,regression test it 124 2,IT124_test2,0,Equipment,FALSE,,IT124_test2
,,Enable Dynamic Parenting,Carlift45,5,Equipment,FALSE,,Carlift45
Equipment,,Car Note,41910,0,Equipment,TRUE,,41910
,149.99,Cable Stretcher,CblStrtchr,1337,Equipment,FALSE,EA,CblStrtchr
Equipment,859,Performance Intake,PerfInt,1,Equipment,FALSE,EA,PerfInt
,,people item,LAB26,0,Labor,FALSE,,LAB26
,3500,PD test 3977,CAT3977,0,Equipment,FALSE,,CAT3977
,2500,New cat for test case 11_iteration 121,PD_101,0,Equipment,FALSE,,PD_101
,5600,iteration 121,PD_102,0,Equipment,FALSE,,PD_102
,3500,Child catelog,PD_103,0,Equipment,FALSE,,PD_103
Equipment,875,Alcoa Wheel,AlcoaWheel,1,Equipment,FALSE,EA,AlcoaWheel
Equipment,1899,Upgraded Turbo,UpTrbo,1,Equipment,FALSE,EA,UpTrbo
Copied by Default,210,Catalog Item Copied by Default,CBD,0,Equipment,FALSE,EA,CBD
,,4.0.1.3975 regression,4013975,0,Equipment,FALSE,,4013975
,6000,cat child item test,CAT3977-2,0,Equipment,FALSE,,CAT3977-2
,,4.0.1.3990 item,3990,1,Equipment,FALSE,,3990
,,3848 reg,3848,0,Equipment,FALSE,,3848
,,Incremental Sync 5,1112,0,Equipment,FALSE,,1112
,3500,incre_sync,IT123_PD2,15,Equipment,FALSE,,IT123_PD2
,150,regression item,3864,0,Equipment,FALSE,,3864
,,incre_parent,IT123_PD3,3,Equipment,FALSE,,IT123_PD3
,125,incre__pricebook,IT123_PD,60,Equipment,FALSE,,IT123_PD
,3500,PD_test_it125-R2,IT_125,0,Equipment,FALSE,,IT_125
"Supplies : Paint, Coating, and Thinner : Ceilcote",47.52,Ceilcote #211,C211,361,Supplies,FALSE,GAL,C211
"Supplies : Paint, Coating, and Thinner : Ceilcote",72.76,Ceilcote #380 primer,C380P,362,Supplies,FALSE,GAL,C380P
"Supplies : Paint, Coating, and Thinner : Ceilcote",68.19,Ceilcote ceilline #40,C40,363,Supplies,FALSE,GAL,C40
"Supplies : Paint, Coating, and Thinner : Ceilcote",60.57,Ceilcote flake tar #661,C661FT,364,Supplies,FALSE,GAL,C661FT
"Supplies : Paint, Coating, and Thinner : Ceilcote",100.8,Ceilcote flakeline #2000,C2000F,365,Supplies,FALSE,GAL,C2000F
"Supplies : Paint, Coating, and Thinner : Ceilcote",77.34,Ceilcote flakeline #242,1030301,366,Supplies,FALSE,GAL,1030301
Equipment,0,Tri-filter unit,TriFilt,1271,Supplies,FALSE,SHIFT,TriFilt
"Supplies : Paint, Coating, and Thinner : Devoe",19.22,Devoe #9 thinner,D9T,431,Supplies,FALSE,GAL,D9T
Equipment,0,Digital Camera,DigCam,432,Supplies,FALSE,SHIFT,DigCam
Equipment,0,Dirt compactor,DCmpt,433,Supplies,FALSE,SHIFT,DCmpt
Supplies,0,Discount,DISC,434,Supplies,FALSE,Lump Sum,DISC
Equipment,0,Disinfection unit,DisU,435,Supplies,FALSE,SHIFT,DisU
Supplies,0,Disposable coveralls,8100510,436,Supplies,FALSE,EA,8100510
Supplies,0,Disposable Coveralls (FRC),8100550,437,Supplies,FALSE,EA,8100550
Equipment,0,Double line swing stage,DLSS,438,Supplies,FALSE,SHIFT,DLSS
Equipment,0,Dry mm gauge/microtest,DryMGage,439,Supplies,FALSE,SHIFT,DryMGage
Equipment : Vacuum Trucks,0,Dry Vacuum Service,DVS,440,Equipment,FALSE,HR,DVS
Supplies,0,Overpack 85 gal. drum,5100120,641,Supplies,FALSE,EA,5100120
Equipment,0,Pail mixer,PMix,642,Equipment,FALSE,HR,PMix
Equipment,0,Paint Shop - 15' x 55',FCureBldg1,643,Supplies,FALSE,SHIFT,FCureBldg1
Equipment,0,Paint Shop - 25' x 50',FCureBldg2,644,Supplies,FALSE,SHIFT,FCureBldg2
Equipment,0,Paint Shop - 40' x 60',FCureBldg4,645,Supplies,FALSE,SHIFT,FCureBldg4
Labor : OT,0,Painter - OT,POT,646,Labor,FALSE,,POT
Labor : TT,0,Painter - PT,PHT,647,Labor,FALSE,,PHT
Labor : ST,0,Painter - ST,PST,648,Labor,FALSE,,PST
Subsistence,100,Per Diem - $100.00,PD100,649,Supplies,FALSE,DAY,PD100
Subsistence,130,Per Diem - $130.00,PD130,650,Supplies,FALSE,DAY,PD130
"Supplies : Paint, Coating, and Thinner : Ceilcote",0,Ceilcote flakeline #282 topcoat,C282F,367,Supplies,FALSE,GAL,C282F
"Supplies : Paint, Coating, and Thinner : Ceilcote",90.23,Ceilcote flakeprime #675,C675F,368,Supplies,FALSE,GAL,C675F
Supplies,8.9,Cesco 2525 degreaser,CESCO 2525,369,Supplies,FALSE,GAL,CESCO 2525
Supplies,0,Chemical cartridges (including HEPA rating),8600150,370,Supplies,FALSE,EA,8600150
"Supplies : Paint, Coating, and Thinner : Sherwin Williams",15.35,Sherwin Williams okon W-1 water repellant,SWW1WR,891,Supplies,FALSE,GAL,SWW1WR
"Supplies : Paint, Coating, and Thinner : Sherwin Williams",17,Sherwin Williams okon W-2 water repellant,SWW2WR,892,Supplies,FALSE,GAL,SWW2WR
"Supplies : Paint, Coating, and Thinner : Sherwin Williams",56,Sherwin Williams phinicon HS,SWP,893,Supplies,FALSE,GAL,SWP
"Supplies : Paint, Coating, and Thinner : Sherwin Williams",33,Sherwin Williams recoatable primer,SWRP,894,Supplies,FALSE,GAL,SWRP
"Supplies : Paint, Coating, and Thinner : Sherwin Williams : Sherchem",28.96,Sherwin Williams sherchem (black),SWSBK,895,Supplies,FALSE,GAL,SWSBK
"Supplies : Paint, Coating, and Thinner : Sherwin Williams : Sherchem",36.79,Sherwin Williams sherchem (blue),SWSB,896,Supplies,FALSE,GAL,SWSB
"Supplies : Paint, Coating, and Thinner : Sherwin Williams : Sherchem",36.79,Sherwin Williams sherchem (fed spec green),SWSFSG,897,Supplies,FALSE,GAL,SWSFSG
